,,,10442,,,,
n_iteracao,id_modelo,cod_produto,nome,Fornecedor,Comprador,Responsável,Subcategoria
179,10619,CT1312,BAGUETTE ARTESANAL JULICE 290G,JULICE,João Reis,Pietro,Padaria
180,10620,CT1313,BAGUETTE INTEGRAL JULICE 290G,JULICE,João Reis,Pietro,Padaria
181,10621,CT1314,PÃO DE CALABRESA E NOZES JULICE 290G,JULICE,João Reis,Pietro,Padaria
182,10622,CT1315,PÃO DE AZEITONAS VERDES E PRETAS JULICE 330G,JULICE,João Reis,Pietro,Padaria
183,10623,CT1316,BRIOCHE JULICE 60G,JULICE,João Reis,Pietro,Padaria
184,10624,CT1317,PÃO DE MILHO JULICE 290G,JULICE,João Reis,Pietro,Padaria
185,10625,CT1318,PAIN AU CHOCOLAT JULICE 80G,JULICE,João Reis,Pietro,Padaria
186,10626,CT1319,CROISSANT DE AMENDOAS JULICE 120G,JULICE,João Reis,Pietro,Padaria
187,10627,CT1320,PAIN AU CHOCOLAT COM AMÊNDOAS JULICE 130G,JULICE,João Reis,Pietro,Padaria
188,10628,CT1321,PÃO INTEGRAL 90% JULICE 290G,JULICE,João Reis,Pietro,Padaria
189,10662,CT1388,PÃO DE FORMA 100% NUTRIÇÃO WICKBOLD DO FORNO 500G,WICKBOLD,João Reis,Pietro,Padaria
190,10664,CT1401,PÃO DE FORMA WICKBOLD DO FORNO ORIGINAL 500G,WICKBOLD,João Reis,Pietro,Padaria
191,10715,CRN42,HAMBURGUER DE BRISKET 481 2 PORÇÕES DE 180G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
192,10716,CRN43,HAMBURGUER DE PICANHA 481 2 PORÇÕES DE 180G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
193,10717,CRN44,HAMBURGUER SMASH DE COSTELA 481 4 PORÇÕES DE 90G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
194,10733,CT1378,"CARNE   DENVER 481 0,450KG",PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
195,10735,CT1380,"COSTELA DESOSSADA 481 1,2KG",PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
196,10764,CT1167,IOGURTE ATI LATTE SKYR ORIGINAL 160G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
197,10766,CT1169,IOGURTE ATI LATTE SKYR MARACUJÁ 160G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
198,10927,CT3502,HAMBURGUER BOVINO SADIA 672G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Açougue
199,11379,CT3819,QUEIJO MINAS TIROLEZ TRADICIONAL 500G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
200,11381,CT3821,PEITO DE PERU SADIA DEFUMADO FATIADO 200G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
201,11391,CT198119,MANTEIGA COM SAL AVIAÇÃO POTE 200G,AVIAÇÃO,Geovanna Bezerra,Pietro,Passáveis Refrigerados
202,11607,CT3942,SUCO BETERRABA MIX C/ YACON REFRIGERADO NATURAL ONE 900ML,NATURAL ONE - REFRIGERADOS,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
203,11640,CT3961,PÃO TÁ PRONTO 66% INTEGRAL WICKBOLD 270G,WICKBOLD,João Reis,Pietro,Padaria
204,11641,CT3962,PÃO TÁ PRONTO TRADICIONAL WICKBOLD 270G,WICKBOLD,João Reis,Pietro,Padaria
205,11969,RATG07,"BRIE FOLHADO RENATO AGUIAR TO GO 1,1KG",ESPAÇO GOURMET,Laura Morais,Pietro,Pratos Prontos
206,11970,RATG08,BRIE PETIT FOLHADO RENATO AGUIAR TO GO 380G,ESPAÇO GOURMET,Laura Morais,Pietro,Pratos Prontos
207,11973,RATG11,COXINHA DA VOVÓ RENATO AGUIAR TO GO 20UN 600G,ESPAÇO GOURMET,Laura Morais,Pietro,Pratos Prontos
208,11986,RATG24,MOLHO COGUMELO RENATO AGUIAR TO GO 450G,ESPAÇO GOURMET,Laura Morais,Pietro,Pratos Prontos
209,11987,RATG25,MOLHO PESTO RENATO AGUIAR TO GO 400G,ESPAÇO GOURMET,Laura Morais,Pietro,Pratos Prontos
210,11989,RATG27,MOLHO DE TOMATE FRESCO RENATO AGUIAR TO GO 500G,ESPAÇO GOURMET,Laura Morais,Pietro,Pratos Prontos
211,11993,RATG31,PÃO DE CALABRESA RENATO AGUIAR TO GO SERVEM 6 PESSOAS 720G,ESPAÇO GOURMET,Laura Morais,Pietro,Pães Congelados e Lanches
212,12003,RATG41,TRANÇA CATARINA DE FRANGO RENATO AGUIAR TO GO 600G,ESPAÇO GOURMET,Laura Morais,Pietro,Pratos Prontos
213,12082,CT40367,CARNE MOÍDA BOVINA KORIN ORGÂNICA CONGELADA 400G,KORIN,Paulo Pereira,Pietro,Açougue
214,12140,CT40392,BOLO PANCO CHOCO BOY 300G,PANCO,João Reis,Pietro,Padaria
215,12149,CT40401,PÃO DE FORMA SEM GLÚTEN SEM LACTOSE WICKBOLD ORIGINAL 300G,WICKBOLD,João Reis,Pietro,Padaria
216,12150,CT40402,PÃO DE MILHO PANCO 500G,PANCO,João Reis,Pietro,Padaria
217,12151,CT40403,PAO DE MEL PANCO COM COBERTURA DE CHOCOLATE 200G,PANCO,João Reis,Pietro,Padaria
218,12152,CT40404,PÃO   DE FORMA NUTRELLA GRÃOS E CASTANHAS 450G,BIMBO,João Reis,Pietro,Padaria
219,12153,CT40405,PÃO    DE FORMA TRADICIONAL PULLMAN 480G,BIMBO,João Reis,Pietro,Padaria
220,12487,CT40584,OVO CAIPIRA GRANDE KORIN SEM TRANSGÊNICO C/ 10UN,KORIN - OVOS,João Reis,Pietro,Ovos
221,12538,CT17464,WAFFLE DE PÃO DE QUEIJO FORNO DE MINAS 200G,FORNO DE MINAS ALIMENTOS S/A,Laura Morais,Pietro,Pratos Prontos
222,13198,CT17793,LINGUIÇA TOSCANA NA BRASA PERDIGÃO 700G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,Suínos
223,13200,CT17791,"COSTELA SUINA NA BRASA PERDIGÃO 0,7 A 0,9KG",BRF - BRASIL FOODS,Paulo Pereira,Pietro,Suínos
224,13278,CT17848,QUEIJO    PRATO FATIADO PRESIDENT 150G,LACTALIS,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
225,13342,CT17902,QUEIJO PARMESÃO RALADO PRESIDENT 50G,LACTALIS,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
226,13659,CT18079,PÃO LEVAIN JULICE 320G,JULICE,João Reis,Pietro,Padaria
227,13660,CT18080,PÃO LEVAIN DUPLO JULICE 320G,JULICE,João Reis,Pietro,Padaria
228,13661,CT18081,PÃO LINHAÇA E GIRASSOL JULICE 280G,JULICE,João Reis,Pietro,Padaria
229,13733,CT18146,BISNAGUINHA BISNAGUITO TRADICIONAL PULLMAN 300G,BIMBO,João Reis,Pietro,Padaria
230,13768,CT18179,PALITINHO DE TAPIOCA NUU 300G,MARIA DOLORES COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pratos Prontos
231,13769,CT18180,PÃO DE    QUEIJO NUU MÉDIO 300G,MARIA DOLORES COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
232,13772,CT18183,PÃO INTEGRAL GRÃO SABOR 18 GRÃOS  WICKBOLD 500G,WICKBOLD,João Reis,Pietro,Padaria
233,13773,CT18184,"PÃO INTEGRAL GRÃO SABOR MAÇÃ, CANELA E PASSAS WICKBOLD 500G",WICKBOLD,João Reis,Pietro,Padaria
234,13859,CT18261,MANTEIGA DANONE TABLETE SEM SAL 200G,DANONE,Geovanna Bezerra,Pietro,Passáveis Refrigerados
235,13860,CT18262,MANTEIGA DANONE TABLETE COM SAL 200G,DANONE,Geovanna Bezerra,Pietro,Passáveis Refrigerados
236,14119,CT18406,IOGURTE INTEGRAL MORANGO EM PEDAÇOS FAZENDA 170G,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Iogurtes
237,14164,CT184570,SALAMITOS SADIA 36G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
238,14201,CT184594,LEITE EM PÓ INTEGRAL INSTANTÂNEO ZERO LACTOSE LA SERENÍSSIMA 300G,La Serenissima,Geovanna Bezerra,Pietro,Leites Refrigerados
239,14327,CT184677,PÃO   DE FORMA NUTRELLA FRUTAS GRÃOS E CASTANHAS 500G,BIMBO,João Reis,Pietro,Padaria
240,14875,CT185042,TOFU ORGANICO ECOBRAS 270G,ECOBRAS CENTRO ECOBIOTICO DO BRASIL LTDA - EPP,Fairlie Padoan,Pietro,"Queijos, Frios e Embutidos"
241,14876,CT185043,TOFU ORGANICO ECOBRAS DEFUMADO 100G,ECOBRAS CENTRO ECOBIOTICO DO BRASIL LTDA - EPP,Fairlie Padoan,Pietro,Pratos Prontos
242,14877,CT185044,TOFU ORGANICO ECOBRAS FIRME 250G,ECOBRAS CENTRO ECOBIOTICO DO BRASIL LTDA - EPP,Fairlie Padoan,Pietro,Pratos Prontos
243,14885,CT185051,QUEIJO CHEDDAR SANDWICH-IN POLENGHI 144G,POLENGHI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
244,15050,CT185185,IOGURTE LÍQUIDO VEGANO VIDA VEG MORANGO 500G,VIDA VEG LTDA,Fairlie Padoan,Pietro,Iogurtes
245,15052,CT185187,IOGURTE LÍQUIDO VEGANO PROTEIN VIDA VEG MORANGO 250G,VIDA VEG LTDA,Fairlie Padoan,Pietro,Iogurtes
246,15053,CT185188,IOGURTE GREGO VEGANO MORANGO VIDA VEG 150g,VIDA VEG LTDA,Fairlie Padoan,Pietro,Iogurtes
247,15054,CT185189,QUEIJO MINAS FRESCAL VEGANO DE CASTANHA DE CAJU VIDA VEG 200G,VIDA VEG LTDA,Fairlie Padoan,Pietro,"Queijos, Frios e Embutidos"
248,15055,CT185190,CREME DE CASTANHA DE CAJU VIDA VEG TRADICIONAL 180G,VIDA VEG LTDA,Fairlie Padoan,Pietro,Passáveis Refrigerados
249,15056,CT185191,MANTEIGA VEGANA DE CASTANHA DE CAJU VIDA VEG 200G,VIDA VEG LTDA,Fairlie Padoan,Pietro,Passáveis Refrigerados
250,15373,CT185392,LINGUIÇA  FININHA DEFUMADA SADIA 240G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
251,15424,CT185438,OVO  BRANCO MANTIQUEIRA C/ 6UN,MANTIQUEIRA ALIMENTOS LTDA,João Reis,Pietro,Ovos
252,15435,CT185449,CARNE BIFE STEAK DE CHORIZO CONGELADO ESTÂNCIA 92 - 450G A 550G,MINERVA,Paulo Pereira,Pietro,Açougue
253,15439,CT185453,REQUEIJÃO CREMOSO LIGHT CATUPIRY 200G,LATICINIOS CATUPIRY LTDA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
254,15441,CT185455,REQUEIJÃO CREMOSO CATUPIRY  TRADICIONAL SACHÊ 250G,LATICINIOS CATUPIRY LTDA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
255,15442,CT185456,REQUEIJÃO CREMOSO CATUPIRY  LIGHT SACHÊ 250G,LATICINIOS CATUPIRY LTDA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
256,15443,CT185457,REQUEIJÃO CREMOSO CATUPIRY CHEDDAR SACHÊ 250G,LATICINIOS CATUPIRY LTDA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
257,15444,CT185458,REQUEIJÃO CREMOSO CATUPIRY TRADICIONAL LATA 410G,LATICINIOS CATUPIRY LTDA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
258,15445,CT185459,REQUEIJÃO CREMOSO CATUPIRY LIGHT LATA 250G,LATICINIOS CATUPIRY LTDA,Geovanna Bezerra,Pietro,Passáveis Refrigerados
259,15446,CT185460,PÃO DE QUEIJO TRADICIONAL RECHEADO CATUPIRY 390G,LATICINIOS CATUPIRY LTDA,Geovanna Bezerra,Pietro,Pratos Prontos
260,15549,CT185552,LEITE   PASTEURIZADO XANDÔ TIPO A DESNATADO 1L,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Leites Refrigerados
261,15550,CT185553,LEITE   PASTEURIZADO XANDÔ TIPO A SEMIDESNATADO 1L,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Leites Refrigerados
262,15551,CT185554,LEITE   PASTEURIZADO XANDÔ TIPO A INTEGRAL 1L,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Leites Refrigerados
263,15553,CT185556,LEITE   PASTEURIZADO XANDÔ TIPO A ZERO LACTOSE SEMIDESNATADO 1L,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Leites Refrigerados
264,15554,CT185557,SUCO  DE LARANJA XANDÔ INTEGRAL 900ML,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Sucos e Chás Refrigerados
265,15565,CT185568,IOGURTE LÍQUIDO VEGANO VIDA VEG COCO NATURAL 500G,VIDA VEG LTDA,Fairlie Padoan,Pietro,Iogurtes
266,15566,CT185569,"IOGURTE LÍQUIDO VEGANO VIDA VEG BANANA, MAMÃO E MAÇÃ 170g",VIDA VEG LTDA,Fairlie Padoan,Pietro,Iogurtes
267,15570,CT185573,IOGURTE GREGO VEGANO TRADICIONAL VIDA VEG 150G,VIDA VEG LTDA,Fairlie Padoan,Pietro,Iogurtes
268,15572,CT185575,QUEIJO VEGANO MUSSARELA DE CASTANHA DE CAJU VIDA VEG 300G,VIDA VEG LTDA,Fairlie Padoan,Pietro,"Queijos, Frios e Embutidos"
269,15573,CT185576,REQUEIJÃO VEGANO TRADICIONAL VIDA VEG 180G,VIDA VEG LTDA,Fairlie Padoan,Pietro,Passáveis Refrigerados
270,15574,CT185577,REQUEIJÃO VEGANO DEFUMADO VIDA VEG 180G,VIDA VEG LTDA,Fairlie Padoan,Pietro,Passáveis Refrigerados
271,15575,CT185578,CREME DE CASTANHA DE CAJU VIDA VEG ERVAS FINAS COM PESTO 180G,VIDA VEG LTDA,Fairlie Padoan,Pietro,Passáveis Refrigerados
272,15689,CT185664,SARDELLA DAMM 120G,DAMM,Paulo Pereira,Pietro,Passáveis Refrigerados
273,15741,CT185673,TALHARIM INTEGRAL MASSA LEVE 500G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
274,15742,CT185674,TALHARIM MASSA LEVE 500G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
275,15743,CT185675,MASSA PARA PASTEL CUMBUCA MASSA LEVE 500G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
276,15745,CT185677,MASSA PARA PASTEL DISCAO MASSA LEVE 500G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
277,15746,CT185678,MASSA PARA PIZZA FRIGIDEIRA MASSA LEVE 250G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
278,15747,CT185679,MASSA PARA LASANHA MASSA LEVE 500G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
279,15748,CT185680,MASSA PARA PASTEL ROLO MASSA LEVE 400G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
280,15749,CT185681,CAPELETTI CARNE MASSA LEVE 400G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
281,15750,CT185682,RAVIOLLI DE CARNE MASSA LEVE 400G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
282,15751,CT185683,RAVIOLLI DE FRANGO MASSA LEVE 400G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
283,15753,CT185685,MASSA FRESCA ESPAGUETE MASSA LEVE 500G,MASSA LEVE,Laura Morais,Pietro,Massas Frescas
284,15761,CT185692,SUCO  DE LIMÃO SICILIANO XANDÔ 900ML,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Sucos e Chás Refrigerados
285,15768,CT185699,MINI COXINHA DE FRANGO COM CATUPIRY ARTESANAL CATUPIRY 300G,LATICINIOS CATUPIRY LTDA,Geovanna Bezerra,Pietro,Pratos Prontos
286,15836,CT185729,CREME DE LEITE XANDÔ 300G,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Leites Refrigerados
287,15840,CT185731,KOMBUCHA PURO VERDE CHÁ VERDE COM UVA 350ML,Future Bev Brasil Industria e Comercio Ltda,Fairlie Padoan,Pietro,Kumbucha
288,15841,CT185732,KOMBUCHA PURO VERDE CHÁ MATE COM GENGIBRE 350ML,Future Bev Brasil Industria e Comercio Ltda,Fairlie Padoan,Pietro,Kumbucha
289,15842,CT185733,KOMBUCHA PURO VERDE CHÁ VERDE COM MIRTILO 350ML,Future Bev Brasil Industria e Comercio Ltda,Fairlie Padoan,Pietro,Kumbucha
290,15843,CT185734,KOMBUCHA PURO VERDE HIBISCO COM ABACAXI 350ML,Future Bev Brasil Industria e Comercio Ltda,Fairlie Padoan,Pietro,Kumbucha
291,15844,CT185735,KOMBUCHA PURO VERDE CHÁ VERDE COM MARACUJÁ 350ML,Future Bev Brasil Industria e Comercio Ltda,Fairlie Padoan,Pietro,Kumbucha
292,15845,CT185737,KOMBUCHA PURO VERDE ROSÉ HIGH 350ML,Future Bev Brasil Industria e Comercio Ltda,Fairlie Padoan,Pietro,Kumbucha
293,15848,CT185740,QUEIJO PRATO SANDWICH-IN POLENGHI 144G,POLENGHI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
294,15851,CT185743,QUEIJO CHEDDAR LIGHT SANDWICH-IN POLENGHI 144G,POLENGHI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
295,15855,CT185747,QUEIJO MINAS FRESCAL TRADICIONAL FRESCATINO POLENGHI 250G,POLENGHI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
296,15856,CT185748,QUEIJO MINAS FRESCAL LIGHT FRESCATINO POLENGHI 250G,POLENGHI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
297,15861,CT185753,REQUEIJÃO ZERO LACTOSE POLENGHI 200G,POLENGHI,Geovanna Bezerra,Pietro,Passáveis Refrigerados
298,15864,CT185756,QUEIJO CAMEMBERT ILE DE FRANCE 125G,POLENGHI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
299,15865,CT185757,QUEIJO BRIE ILE DE FRANCE 125G,POLENGHI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
300,15866,CT185758,QUEIJO TIPO GRANA POLENGHI SELECTION 200G,POLENGHI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
301,15867,CT185759,PÃO DE ALHO BAGUETE ZINHO TRADICIONAL 300G,ZINHO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
302,15868,CT185760,PÃO DE ALHO BAGUETE ZINHO PICANTE 300G,ZINHO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
303,15869,CT185761,PÃO DE ALHO BOLINHA ZINHO TRADICIONAL 300G,ZINHO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
304,15870,CT185762,PÃO DE ALHO BOLINHA ZINHO CATUPIRY 300G,ZINHO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
305,15872,CT185764,PÃO DE ALHO BOLINHA ZINHO CALABRESA COM QUEIJO 300G,ZINHO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
306,15873,CT185736,KOMBUCHA PURO VERDE CHÁ VERDE COM IMMUNITY 350ML,Future Bev Brasil Industria e Comercio Ltda,Fairlie Padoan,Pietro,Kumbucha
307,15907,CT185786,QUEIJO      TIPO BRIE FRACIONADO VIGOR 120G,VIGOR,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
308,15915,CT185794,QUEIJO PARMESÃO CILINDRO FAIXA AZUL 195G,VIGOR,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
309,15916,CT185795,QUEIJO PARMESÃO LASCAS FAIXA AZUL 150G,VIGOR,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
310,15919,CT185798,REQUEIJÃO CREMOSO LIGHT DANUBIO 190G,VIGOR,Geovanna Bezerra,Pietro,Passáveis Refrigerados
311,15926,CT185805,PÃO 5 GRÃOS LE PAIN QUOTIDIEN 900G,LE PAIN,João Reis,Pietro,Padaria
312,15927,CT185806,PÃO DE NOZES LE PAIN QUOTIDIEN 850G,LE PAIN,João Reis,Pietro,Padaria
313,15929,CT185808,PÃO PORTUGUÊS LE PAIN QUOTIDIEN 500G,LE PAIN,João Reis,Pietro,Padaria
314,15930,CT185809,PÃO INTEGRAL LE PAIN QUOTIDIEN 1KG,LE PAIN,João Reis,Pietro,Padaria
315,15936,CT185815,QUEIJO CHEDDAR FATIADO JOSEPH HELER 150G,CALIMP,Laura Morais,Pietro,"Queijos, Frios e Embutidos"
316,15947,CT185826,QUEIJO DE CABRA CREMOSO SOIGNON 140G,CALIMP,Laura Morais,Pietro,"Queijos, Frios e Embutidos"
317,15964,CT185842,BURRATA DE BÚFALA BÚFALO DOURADO 120G,LATICINIO BUFALO DOURADO LTDA.,Geovanna Bezerra,Pietro,Passáveis Refrigerados
318,15967,CT185845,QUEIJO MUSSARELA DE BÚFALA CEREJINHA BÚFALO DOURADO 150G,LATICINIO BUFALO DOURADO LTDA.,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
319,15968,CT185846,QUEIJO MUSSARELA DE BÚFALA BOLA MÉDIA BÚFALO DOURADO 200G,LATICINIO BUFALO DOURADO LTDA.,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
320,15979,CT185502,QUEIJO    MUSSARELA FATIADO PRESIDENT 150G,LACTALIS,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
321,15988,CT185851,SUCO DE LARANJA INTEGRAL XANDÔ 300ML,LATICINIOS XANDO LTDA,Geovanna Bezerra,Pietro,Sucos e Chás Refrigerados
322,16002,CT185862,BURRATA DE BÚFALA BÚFALO DOURADO TRUFADA 120G,LATICINIO BUFALO DOURADO LTDA.,Geovanna Bezerra,Pietro,Passáveis Refrigerados
323,16046,CT185893,PEITO DE FRANGO DEFUMADO FATIA CERATTI 100G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
324,16047,CT185894,PÃO DE QUEIJO   NUU PEQUENO 300G,MARIA DOLORES COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
325,16048,CT185895,PÃO DE QUEIJO   NUU SUPER GRANDE 1KG,MARIA DOLORES COMERCIO DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
326,16083,CT919100,SUCO  GREENPEOPLE ABACAXI COM HORTELÃ 1L,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
327,16084,CT919101,"SUCO  GREENPEOPLE LARANJA, BETERRABA E CENOURA 1L",GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
328,16085,CT919102,SUCO  GREENPEOPLE LARANJA 1L,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
329,16086,CT919103,SUCO  VERDE GREENPEOPLE 1L,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
330,16106,CT185916,COLEÇÃO DE MINI SANDUÍCHE DE PERNIL RENATO AGUIAR 180G,ESPAÇO GOURMET,Laura Morais,Pietro,Pães Congelados e Lanches
331,16154,CT185959,QUEIJO MUSSARELA STICK TIROLEZ C/ 8UN DE 30G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
332,16248,CT185986,PÃO  DE QUEIJO FIORELLA FIT BATATA DOCE 400G,FIORELLA FIT INDÚSTRIA E DISTRIBUIDORA DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
333,16249,CT185987,PÃO  DE QUEIJO FIORELLA FIT CABOTIÁ 400G,FIORELLA FIT INDÚSTRIA E DISTRIBUIDORA DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
334,16250,CT185988,PÃO  DE QUEIJO FIORELLA FIT MANDIOQUINHA 400G,FIORELLA FIT INDÚSTRIA E DISTRIBUIDORA DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
335,16395,CT186104,ESFIHA DE CARNE ABERTA ARABIA 260G,ARABIA,Laura Morais,Pietro,Pratos Prontos
336,16396,CT186105,ESFIHA DE CARNE FECHADA ARABIA 260G,ARABIA,Laura Morais,Pietro,Pratos Prontos
337,16397,CT186106,ESFIHA DE RICOTA FECHADA ARABIA 260G,ARABIA,Laura Morais,Pietro,Pratos Prontos
338,16398,CT186107,ESFIHA INTEGRAL DE RICOTA FECHADA ARABIA 260G,ARABIA,Laura Morais,Pietro,Pratos Prontos
339,16400,CT186109,QUIBE FRITO ARABIA 150G,ARABIA,Laura Morais,Pietro,Pratos Prontos
340,16403,CT186111,QUEIJO MINAS PADRÃO DE CASTANHA DE CAJU VIDA VEG 200G,VIDA VEG LTDA,Fairlie Padoan,Pietro,"Queijos, Frios e Embutidos"
341,16405,CT186113,BABAGANUSH DERBAK SAJ 200G,NEVO ALIMENTOS EIRELI - EPP,Geovanna Bezerra,Pietro,Pratos Prontos
342,16406,CT186114,BOLINHOS DE FALAFEL DERBAK SAJ 300G,NEVO ALIMENTOS EIRELI - EPP,Geovanna Bezerra,Pietro,Pratos Prontos
343,16407,CT186115,COALHADA SECA DERBAK SAJ 200G,NEVO ALIMENTOS EIRELI - EPP,Geovanna Bezerra,Pietro,Passáveis Refrigerados
344,16408,CT186116,HOMUS COM CEBOLA DOURADA DERBAK SAJ 200G,NEVO ALIMENTOS EIRELI - EPP,Geovanna Bezerra,Pietro,Passáveis Refrigerados
345,16409,CT186117,HOMUS TRADICIONAL DERBAK SAJ 200G,NEVO ALIMENTOS EIRELI - EPP,Geovanna Bezerra,Pietro,Passáveis Refrigerados
346,16410,CT186118,PÃO  PITA DERBAK SAJ 300G,NEVO ALIMENTOS EIRELI - EPP,Geovanna Bezerra,Pietro,Passáveis Refrigerados
347,16411,CT186119,TAHINE TRADICIONAL DERBAK SAJ 200G,NEVO ALIMENTOS EIRELI - EPP,Geovanna Bezerra,Pietro,Passáveis Refrigerados
348,16417,CT186124,FALAFEL  FRITO ALMANARA 360G,ALMANARA,Laura Morais,Pietro,Pratos Prontos
349,16418,CT186125,MINI ESFIHA ABERTA ALMANARA CARNE 300G,ALMANARA,Laura Morais,Pietro,Pratos Prontos
350,16419,CT186126,MINI ESFIHA ABERTA ALMANARA QUEIJO 300G,ALMANARA,Laura Morais,Pietro,Pratos Prontos
351,16421,CT186128,MINI ESFIHA FECHADA ALMANARA CARNE 300G,ALMANARA,Laura Morais,Pietro,Pratos Prontos
352,16422,CT186129,MINI ESFIHA FECHADA ALMANARA RICOTA 300G,ALMANARA,Laura Morais,Pietro,Pratos Prontos
