,,,10442,,,,
n_iteracao,id_modelo,cod_produto,nome,Fornecedor,Comprador,Responsável,Subcategoria
43,5588,CT10063,QUEIJO PARMESÃO TANIA FRACIONADO,A. R. C. LOGISTICA E ALIMENTOS - TANIA LATICINIOS,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
44,5592,CT10066,QUEIJO PARMESÃO PRESIDENT 180G,LACTALIS,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
45,6227,CT1670,SALSICHA  SADIA HOT DOG 500G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
46,6396,CT105001,PÃO MULTIGRÃOS JULICE 450G,JULICE,João Reis,Pietro,Padaria
47,6885,CT68912,BOLO DE LARANJA PULLMAN 250G,BIMBO,João Reis,Pietro,Padaria
48,6886,CT68913,BOLO DE CHOCOLATE PULLMAN 250G,BIMBO,João Reis,Pietro,Padaria
49,8045,CT123497,QUEIJO PRATO FATIADO SADIA SOLTÍSSIMO 150G,BRF - BRASIL FOODS,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
50,8615,CT1P,PÃO    ARTESANO PULLMAN 500G,BIMBO,João Reis,Pietro,Padaria
51,8737,CT1627,QUEIJO PARMESÃO TIROLEZ 245G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
52,8820,CT1564,MANTEIGA  EXTRA GRAN MESTRI COM SAL ZERO LACTOSE LATA 200G,GRAN MESTRI,Geovanna Bezerra,Pietro,Passáveis Refrigerados
53,8821,CT1565,MANTEIGA  EXTRA GRAN MESTRI COM SAL LATA 200G,GRAN MESTRI,Geovanna Bezerra,Pietro,Passáveis Refrigerados
54,8822,CT1566,MANTEIGA  EXTRA GRAN MESTRI SEM SAL LATA 200G,GRAN MESTRI,Geovanna Bezerra,Pietro,Passáveis Refrigerados
55,8849,CT18824,QUEIJO TIPO GRANA GRAN MESTRI 150G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
56,8850,CT18825,QUEIJO PECORINO ROMANO GRAN MESTRI 150G,GRAN MESTRI,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
57,9124,CRN01,CARNE    PICADINHO DE ALCATRA FARMI 560G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
