id_modelo,cod_produto,nome,preco_loja_programada,preco_loja_fresh,
23490,CT192537,BARRA DE CHOCOLATE BRANCO COM COOKIES GOLD&KO 20G,"8,99",,Kailany Oliveira
23491,CT192538,BARRA DE CHOCOLATE AO LEITE VEGANO GOLD&KO 20G,"8,99",,Kailany Oliveira
23492,CT192539,BARRA DE CHOCOLATE 70% CACAU + AVELÃ GOLD&KO 20G,"8,99",,Kailany Oliveira
23500,CT192547,IOGURTE VEGANO DE COCO SABOR MANGA E MARACUJÁ FRESCO 110ML,"9,89","9,89",Fairlie Padoan
23501,CT192548,IOGURTE VEGANO DE COCO SABOR MORANGO FRESCO 110ML,"9,89","9,89",Fairlie Padoan
23504,CT192551,CREAM CHEESE VEGANO DE CASTANHA DE CAJÚ FRESCO 150G,"20,99","20,99",Fairlie Padoan
23507,CT192554,"CARNE PEÇA PICANHA CONGELADA ESTÂNCIA 92 - 1,2 A 1,3KG","139,9","139,9",Paulo Pereira
23528,CT192570,PASTA DE MIX DE NUTS COM LEITE EM PÓ NAKED NUTS 150G,"23,89",,Kailany Oliveira
23529,CT192571,LASCAS DE BROWNIE ZAYTAS CARAMELO E FLOR DE SAL 80G,"24,09",,Kailany Oliveira
23530,CT192572,LASCAS DE BROWNIE ZAYTAS GOTAS DE CHOCOLATE 70% 80G,"24,09",,Kailany Oliveira
23539,CT192576,RAÇÃO SECA PARA GATOS ADULTOS HILLS 3KG,"262,79",,Gabriela Pereira
23563,CT192597,"RAÇÃO SECA PARA GATOS ADULTOS COM PALADAR EXIGENTE ROYAL CANIN 10,1KG","418,9",,Gabriela Pereira
23565,CTALTENEICE,CREME DE TRATAMENTO RESTAURAÇÃO PROFUNDA PANTENE 270ML,"27,99",,Jefferson Moraes
23594,CT192623,"IOIÔ MIX DUO 41,9G","5,49",,Stephanie Jesus
23611,CT192638,CERA LÍQUIDA TACOLAC 500ML,"19,49",,Jefferson Moraes
23619,CT192646,CHOCOLATE BELGA GUYLIAN SALTED CARAMEL 100G,"34,9",,Juliana Rodrigues
23620,CT192647,CHOCOLATE BELGA GUYLIAN SEA SHELLS C/ 6UN - 65G,"19,99",,Juliana Rodrigues
23622,CT192649,CHOCOLATE SUIÇO CAILLER AU LAIT AUX NOISETTES 100G,"28,89",,Juliana Rodrigues
23624,CT192651,CHOCOLATE SUIÇO CAILLER CRÉMANT CHOCOLAT NOIR 100G,"28,89",,Juliana Rodrigues
23632,CT192659,MINI BROWNIE WICKBOLD AVELÃ 30G,"3,89",,João Reis
23639,CT192666,CANJIQUINHA XERÉM YOKI PACOTE 500G,"9,49",,Juliana Rodrigues
23641,CT192668,AMACIANTE DE CARNE COM ESPECIARIAS KITANO TOQUE DE CHEF FRASCO 120G,"13,99",,Juliana Rodrigues
23642,CT192669,TEMPERO PARA AVES E PEIXES KITANO TOQUE DE CHEF FRASCO 120G,"13,99",,Juliana Rodrigues
23644,CT192672,RAGU DE LINGUIÇA AMADDRE COM VINHO TINTO 500G,"35,9",,Juliana Rodrigues
23651,CT192674,SAPONÁCEO SAPÓLIO RADIUM PÓ LAVANDA 300G,"7,59",,Jefferson Moraes
23665,CT192682,PÃO ANFITRIÃ SABOR ALHO COM QUEIJO 450G,"31,9","31,9",Laura Morais
23667,CT192684,PÃO ANFITRIÃ DE LINGUIÇA COM CHIMICHURRI 380G,"34,9","34,9",Laura Morais
23708,CT192742,"SUCO  NATURAL ONE UVA E MAÇÃ AMBIENTE 1,3L","20,89",,Camila Fim
